feature,importance
odd_amount,0.09060288238916375
type_risk_score,0.0872545730746216
type_encoded,0.07014343308957804
transfer_or_cashout,0.06536040665132868
high_risk_type,0.058962640575100214
low_risk_type,0.05316291857848408
balance_change_pct,0.0474781368755326
balance_zscore,0.04481242888476202
newbalanceOrig,0.042306434054416434
balance_percentile,0.03513846127546496
amount_to_balance_ratio,0.03493627128834844
amount_balance_product_log,0.033724524620124756
balance_change,0.03359614877863119
oldbalanceOrg,0.030268097768040344
amount_balance_product,0.027197421700192355
amount_log,0.025270210097659174
amount_zscore,0.02496789073514633
amount,0.02475389831317788
amount_sqrt,0.022866640775745843
amount_percentile,0.021442116488585582
new_to_old_balance_ratio,0.020522644466646287
percentile_diff,0.018283635626803792
balance_error_ratio,0.009163522117636073
exact_balance_match,0.008738080840982732
almost_exact_match,0.008082969172290842
balance_error,0.00713328283449415
low_drain_ratio,0.0070848985830294555
zero_balance_before,0.006610868260618841
balance_iqr_outlier,0.005266675783219242
zero_balance_after,0.003553066403825331
cashout_medium,0.003400273213380512
complete_drain,0.0032174724822315844
near_complete_drain,0.002681713322562649
has_balance_error,0.002446604205463682
round_amount,0.0022095015236865433
amount_quintile,0.002058687452318523
amount_decile,0.0017866383239028222
balance_mismatch,0.001710617704922825
high_drain_ratio,0.0016792103366546844
extreme_change,0.0016615897678777562
transfer_medium,0.0015528601983911038
large_balance_error,0.0014582529827827431
dataset_source_encoded,0.0012712490752896715
amount_iqr_outlier,0.0007259281344933759
risky_transaction,0.0006765097692054111
cashout_large,0.0005593266945638667
transfer_large,0.0004960460052328184
amount_outlier_90,0.0004447399810491782
medium_drain_ratio,0.0003583116406561152
amount_outlier_99,0.00023687725983651198
amount_outlier_95,0.00018810440291250943
partial_drain,0.00018018801285882565
amount_zscore_outlier,8.852524080178308e-05
small_amount,8.289751075483731e-05
round_medium_amount,6.104222653272073e-05
balance_zscore_outlier,4.5673629396002e-05
extreme_outlier,1.8244400374797277e-05
round_large_amount,9.210407864999724e-06
suspicious_zero_transaction,8.523990350026185e-06
payment_large,2.384538690664064e-20
